?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ERO_0001255>	"A service offering that describes a service in which the provider assists the consumer in activities directly or indirectly associated with the production and analysis or experimental research data."	
<http://purl.obolibrary.org/obo/ERO_0000020>	"Material entity that is a portion or quantity of a biological material for use in testing, examination, or study. A biological specimen can be an individual animal, a population of organisms, or is a part of or derived from an animal, plant, part of a plant, or microorganism. When a taxon is described, it is typically based on a single specimen and is referred to as the holotype."	
<http://purl.obolibrary.org/obo/ERO_0001254>	"A service offering that describes a service in which the provider facilitates the transport of some material entity to a specified destination for the service consumer."	
<http://purl.org/ontology/bibo/Book>	"A written or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers"	
<http://www.w3.org/2006/vcard/ns#Unknown>		
<http://vivoweb.org/ontology/core#Blog>	"Regularly updated online journal or newsletter by one or more writers, called bloggers, containing articles and commentary of interest to the blogger"	
<http://vivoweb.org/ontology/core#Department>	"A unit within a larger organization that addresses a specific subject or area of activity."	
<http://purl.obolibrary.org/obo/ERO_0000394>	"A service offering that describes a service in which the provider makes physical changes to a specified input material entity with the objective of producing a new material entity form input materials, or modifying the input material entity, and returning this as output to the service consumer"	
<http://vivoweb.org/ontology/core#OrganizingProcess>		
<http://vivoweb.org/ontology/core#PrivateCompany>	"A private company is one that is privately-owned, and thus, is not publicly-traded in the stock market. Members of the general public cannot purchase stock in a private company unless that company chooses to go public and become a public company."	
<http://vivoweb.org/ontology/core#ConferencePaper>	"A paper presented at a conference; optionally collected into a Proceedings or a special Journal issue"	
<http://www.w3.org/2006/vcard/ns#OrganizationName>		
<http://vivoweb.org/ontology/core#MemberRole>	"A role of being a member in a Process or an Organization"	
<http://www.w3.org/2006/vcard/ns#Location>		
<http://purl.obolibrary.org/obo/ERO_0000777>	"A US resident role that inheres in an individual that is a legally recognized as a member of a state, with associated rights and obligations."	
<http://purl.org/ontology/bibo/Thesis>	"Works created to satisfy the requirements for an academic certification or degree; also called dissertation"	
<http://vivoweb.org/ontology/core#County>	"The largest administrative division of most states or provinces."	
<http://aims.fao.org/aos/geopolitical.owl#economic_region>		
<http://vivoweb.org/ontology/core#Grant>	"Financial assistance mechanism providing money, property, or both to an eligible entity to carry out an approved project or activity"	
<http://vivoweb.org/ontology/core#Catalog>	"A list of items in a collection; an ordered compilation of item descriptions and sufficient information to afford access to them"	
<http://vivoweb.org/ontology/core#PresentingProcess>		
<http://purl.obolibrary.org/obo/OBI_0500000>	"A study design is a plan specification comprised of protocols (which may specify how and what kinds of data will be gathered) that are executed as part of an investigation and is realized during a study design execution."	
<http://www.w3.org/2006/vcard/ns#Address>		
<http://vivoweb.org/ontology/core#AttendingProcess>		
<http://www.w3.org/2006/vcard/ns#Coworker>		
<http://purl.obolibrary.org/obo/OBI_0000017>	"a role which inheres in material entities and is realized in the processes of making, enforcing or being defined by legislation or orders issued by a governmental body."@en	
<http://xmlns.com/foaf/0.1/Agent>	"Agents are things that do stuff"	
<http://purl.org/ontology/bibo/Document>	"A bounded physical representation of a body of information designed with the capacity (and usually intent) to communicate"	
<http://purl.obolibrary.org/obo/ERO_0000392>	"A service offering that describes a service in which the consumer provides some material or data as input which a service provider stores and returns as output."	
<http://purl.org/ontology/bibo/Newspaper>	"Contains news articles, opinions, features, advertising, and is usually issued daily or weekly"	
<http://www.w3.org/2006/vcard/ns#Communication>		
<http://www.w3.org/2006/vcard/ns#Photo>		
<http://vivoweb.org/ontology/core#Campus>	"The grounds of a school, college, university, or hospital. Or, a large, usually suburban, landscaped business or industrial site."	
<http://vivoweb.org/ontology/core#ConferencePoster>	"The digital file (or physical equivalent), if available after the conference, vs. the act of attending/presenting: use ConferencePresentation for information about date/time/location/name of the event where the poster was presented"	
<http://vivoweb.org/ontology/core#EmeritusFaculty>	"A retired faculty member who has retained their rank, title and privileges."	
<http://www.w3.org/2006/vcard/ns#FormattedName>		
<http://vivoweb.org/ontology/core#Continent>	"A large contiguous landmass  that is at least partially surrounded by water, together with any islands on its continental shelf."	
<http://vivoweb.org/ontology/core#Library>	"An organization maintaining one or more collections of physical and/or electronic information resources for access or lending."	
<http://purl.org/ontology/bibo/Brief>	"A document stating the facts and points of law of a client's case"	
<http://purl.obolibrary.org/obo/ERO_0000788>	"An employee role inhering in a person that is realized when the bearer participates in the teaching and/or administrative force of a university, college, or school."	
<http://www.w3.org/2006/vcard/ns#Agent>		
<http://purl.obolibrary.org/obo/OBI_0000086>		
<http://purl.org/ontology/bibo/AudioDocument>	"Recorded audio in any format"	
<http://vivoweb.org/ontology/core#Center>	"An organization where a specified activity is concentrated."	
<http://purl.org/ontology/bibo/Journal>	"Contains original scholarly research or review articles by experts in the field"	
<http://www.w3.org/2006/vcard/ns#Met>		
<http://www.w3.org/2006/vcard/ns#Sweetheart>		
<http://vivoweb.org/ontology/core#University>	"An institution of higher education and research, which grants academic degrees in a variety of subjects, and provides both undergraduate education and postgraduate education."	
<http://purl.obolibrary.org/obo/IAO_0000078>	"The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<http://vivoweb.org/ontology/core#CurationProcess>	"A process which has as its input, a collection of material entities and/or information content entities"@en	
<http://www.w3.org/2006/vcard/ns#None>		
<http://vivoweb.org/ontology/core#Position>	"Particular position in an organization, commonly identified by job title, and normally associated with a job description that details the tasks and responsibilities that go with the position."	
<http://purl.obolibrary.org/obo/ERO_0000787>	"A role inhering in a person that is realized when the bearer participates in an occupation by which a person earns a living or spends their time."	
<http://purl.obolibrary.org/obo/ARG_2000376>	"The purpose of contact information."@en	
<http://vivoweb.org/ontology/core#Company>	"A legally-recognized business organization"	
<http://vivoweb.org/ontology/core#Equipment>	"A physical object provided for specific purpose, task or occupation. "	
<http://purl.org/net/OCRe/study_design.owl#Phase_4>	"A Phase IV study monitors a new treatment in the community, often to evaluate longterm safety and effectiveness. [Glossary of Terms in The Cochrane Collaboration]"	
<http://purl.obolibrary.org/obo/ERO_0000014>	"A funded collection of investigations as described in a research proposal."	
<http://purl.obolibrary.org/obo/ERO_0001262>	"An analysis service offering that describes a service in which the consumer provides some input data and a service provider transforms, models, or interprets the input data and returns this generated data as output"	
<http://vivoweb.org/ontology/core#SubnationalRegion>	"Smaller administrative division into which a country may be divided."	
<http://vivoweb.org/ontology/core#FundingOrganization>	"A defined class of organizations that fund Grants"	
<http://vivoweb.org/ontology/core#AdvisorRole>		
