?cls	?pred	?val	?synType
<http://vivoweb.org/ontology/core#PresenterRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Presenter Role"@en	
<http://www.w3.org/2006/vcard/ns#Geographical>	<http://www.w3.org/2000/01/rdf-schema#label>	"Geographical"@en	
<http://purl.org/spar/fabio/Erratum>	<http://www.w3.org/2000/01/rdf-schema#label>	"Erratum"@en	
<http://purl.obolibrary.org/obo/ERO_0000784>	<http://www.w3.org/2000/01/rdf-schema#label>	"Undergraduate Student Role"@en	
<http://vivoweb.org/ontology/core#Internship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Internship"@en	
<http://www.w3.org/2006/vcard/ns#Addressing>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addressing"@en	
<http://purl.org/ontology/bibo/Letter>	<http://www.w3.org/2000/01/rdf-schema#label>	"Letter"@en	
<http://www.w3.org/2006/vcard/ns#Male>	<http://www.w3.org/2000/01/rdf-schema#label>	"Male"@en	
<http://vivoweb.org/ontology/core#UndergraduateAdvisingRelationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Undergraduate Advising Relationship"@en	
<http://www.w3.org/2006/vcard/ns#Parent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Parent"@en	
<http://vivoweb.org/ontology/core#PeerReviewerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Peer Reviewer Role"@en	
<http://purl.obolibrary.org/obo/ERO_0000394>	<http://www.w3.org/2000/01/rdf-schema#label>	"Material Processing Service"@en	
<http://purl.obolibrary.org/obo/OBI_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"Planned Process"@en	
<http://purl.org/ontology/bibo/Excerpt>	<http://www.w3.org/2000/01/rdf-schema#label>	"Excerpt"@en	
<http://purl.obolibrary.org/obo/ERO_0000071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Software"@en	
<http://vivoweb.org/ontology/core#GovernmentAgency>	<http://www.w3.org/2000/01/rdf-schema#label>	"Government Agency"@en	
<http://www.w3.org/2006/vcard/ns#Sweetheart>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sweetheart"@en	
<http://vivoweb.org/ontology/core#Relationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Relationship"@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"Continuant"@en	
